year,vehicle_class,MPG(comb),cylinders,displ (L),drive,trany
2000,Large Cars,21,6.0,3.8,Front-Wheel Drive,Automatic
2000,Large Cars,21,6.0,3.4,Front-Wheel Drive,Automatic
2000,Sport Utility Vehicle,21,4.0,2.0,4-Wheel Drive,Manual
2000,Sport Utility Vehicle,16,4.0,2.5,4-Wheel Drive,Automatic
2000,Large Cars,19,6.0,3.8,Front-Wheel Drive,Automatic
2000,Large Cars,20,6.0,3.8,Front-Wheel Drive,Automatic
2000,Large Cars,14,12.0,5.4,Rear-Wheel Drive,Automatic
2000,Large Cars,18,8.0,4.4,Rear-Wheel Drive,Automatic
2000,Large Cars,18,8.0,4.2,4-Wheel Drive,Automatic
2000,Sport Utility Vehicle,22,4.0,2.0,4-Wheel Drive,Automatic
2000,Midsize Cars,19,6.0,2.9,Front-Wheel Drive,Automatic
2000,Large Cars,19,8.0,4.6,Front-Wheel Drive,Automatic
2000,Large Cars,20,6.0,3.8,Front-Wheel Drive,Automatic
2000,Large Cars,21,6.0,3.8,Front-Wheel Drive,Automatic
2000,Large Cars,19,6.0,3.5,Front-Wheel Drive,Automatic
2000,Sport Utility Vehicle,13,8.0,4.7,4-Wheel Drive,Automatic
2000,Large Cars,18,8.0,4.6,Rear-Wheel Drive,Automatic
2000,Large Cars,18,8.0,4.6,Rear-Wheel Drive,Automatic
2000,Large Cars,18,8.0,4.6,Front-Wheel Drive,Automatic
2000,Large Cars,20,6.0,3.0,Front-Wheel Drive,Automatic
2000,Large Cars,20,6.0,3.0,Front-Wheel Drive,Automatic
2000,Large Cars,18,8.0,4.6,Rear-Wheel Drive,Automatic
2000,Large Cars,19,6.0,3.5,Front-Wheel Drive,Automatic
2000,Sport Utility Vehicle,21,4.0,2.0,4-Wheel Drive,Automatic
2000,Large Cars,20,6.0,3.2,Front-Wheel Drive,Automatic
2000,Large Cars,21,6.0,2.7,Front-Wheel Drive,Automatic
2000,Large Cars,21,6.0,2.7,Front-Wheel Drive,Automatic
2000,Large Cars,19,6.0,3.5,Front-Wheel Drive,Automatic
2000,Large Cars,20,6.0,3.2,Front-Wheel Drive,Automatic
2000,Large Cars,21,6.0,2.7,Front-Wheel Drive,Automatic
2000,Midsize Cars,18,6.0,2.8,Front-Wheel Drive,Automatic
2000,Sport Utility Vehicle,17,4.0,2.5,4-Wheel Drive,Manual
2000,Midsize Cars,22,5.0,2.4,Front-Wheel Drive,Manual
2000,Sport Utility Vehicle,15,6.0,3.5,4-Wheel Drive,Automatic
2000,Sport Utility Vehicle,21,4.0,2.0,4-Wheel Drive,Manual
2000,Sport Utility Vehicle,21,4.0,2.0,4-Wheel Drive,Manual
2000,Sport Utility Vehicle,16,6.0,3.2,4-Wheel Drive,Automatic
2000,Sport Utility Vehicle,21,4.0,2.0,4-Wheel Drive,Manual
2000,Sport Utility Vehicle,16,6.0,3.2,4-Wheel Drive,Manual
2000,Small Pickup Trucks,19,4.0,2.2,Rear-Wheel Drive,Automatic
2000,Sport Utility Vehicle,12,8.0,4.6,4-Wheel Drive,Automatic
2000,Small Pickup Trucks,19,4.0,2.2,Rear-Wheel Drive,Automatic
2000,Sport Utility Vehicle,15,6.0,3.3,4-Wheel Drive,Automatic
2000,Midsize Cars,20,5.0,2.3,Front-Wheel Drive,Automatic
2000,Sport Utility Vehicle,16,6.0,3.2,4-Wheel Drive,Automatic
2000,Sport Utility Vehicle,16,6.0,3.2,4-Wheel Drive,Manual
2000,Small Pickup Trucks,18,6.0,4.3,Rear-Wheel Drive,Manual
2000,Midsize Cars,21,5.0,2.3,Front-Wheel Drive,Manual
2000,Small Pickup Trucks,19,4.0,2.2,Rear-Wheel Drive,Automatic
2000,Sport Utility Vehicle,13,8.0,5.4,4-Wheel Drive,Automatic
2000,Small Pickup Trucks,17,6.0,4.3,Rear-Wheel Drive,Automatic
2000,Midsize Cars,20,5.0,2.4,Front-Wheel Drive,Automatic
2000,Small Pickup Trucks,23,4.0,2.2,Rear-Wheel Drive,Manual
2000,Midsize Cars,21,5.0,2.4,Front-Wheel Drive,Automatic
2000,Sport Utility Vehicle,16,6.0,3.2,4-Wheel Drive,Manual
2000,Sport Utility Vehicle,15,6.0,3.5,4-Wheel Drive,Automatic
2000,Sport Utility Vehicle,19,4.0,2.0,4-Wheel Drive,Manual
2000,Small Pickup Trucks,22,4.0,2.2,Rear-Wheel Drive,Manual
2000,Sport Utility Vehicle,15,6.0,3.5,4-Wheel Drive,Manual
2000,Sport Utility Vehicle,18,4.0,2.0,4-Wheel Drive,Automatic
2000,Small Pickup Trucks,23,4.0,2.2,Rear-Wheel Drive,Manual
2000,Large Cars,18,8.0,4.3,Rear-Wheel Drive,Automatic
2000,Midsize Cars,19,5.0,2.4,4-Wheel Drive,Automatic
